Operations O&M Charging Guidelines,,,,,,,,,,,,
WIND SITES and CENTRAL SERVICES WIND SITE SUPPORT,,,,,,,,,,,,
Description,Account,Resource Type,"Process ID
*INFORMATIONAL ONLY",Additional Guidance,Account #,Account Name,"Project Code
XXXX = Site Location Code",Category,Sub Category,Account Group,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25G003,Turbine O&M,Blade Preventative,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25G003,Turbine O&M,Blade Preventative,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25G003,Turbine O&M,Blade Preventative,Motor vehicles,,
End of Contract Inspections,,,,,,,,,,,,
End of Contract Inspections,,69400,EOWINSP,3rd Party Services,515109,Outside Services Equipment Maintenance,XXXX25E001, Turbine O&M ,End of Contract Inspections,Outside Services,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25E001, Turbine O&M ,End of Contract Inspections,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25E001, Turbine O&M ,End of Contract Inspections,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25E001, Turbine O&M ,End of Contract Inspections,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25E001, Turbine O&M ,End of Contract Inspections,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25E001, Turbine O&M ,End of Contract Inspections,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25E001, Turbine O&M ,End of Contract Inspections,Motor vehicles,,
Minor Corrective,,,,,,,,,,,,
Labor - Site (Deriva FTE's),,,OPSLAB,Site Technicians ,512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G005, Turbine O&M ,Minor Corrective,Salary & Wages,,
Staff Aug/ Contingent workers - Site,,,CONTLAB,"Technician/SRC contingent worker labor for individuals under the direct supervision of a Deriva Manager/Supervisor (included on Duke org chart); i.e. Spencer Ogden, ERSG, Staffing Specialist",515220,Consultant - Staff Augmentation,XXXX25G005, Turbine O&M ,Minor Corrective,Consultant fees,,
OEM Tech Support,,,,Tech support from the OEM (Original Equipment Manufacturer),515200,Consultant Other,XXXX25G005, Turbine O&M ,Minor Corrective,Consultant fees,,
3rd Party Maintenance Support,0500000,69100,CONTLAB,Technician labor for technicians NOT under the direct supervision of a Deriva Manager/Supervisor; i.e. Uptower Inc.,515219,Consultant - 3rd Party Maintenance Support ,XXXX25G006, Turbine O&M ,Minor Corrective,Consultant fees,,
Specialized Jobs,0500000,69400,CONTLAB,"Specialized jobs or non-routine work (i.e. tower cleaning, yaw ring replacement, outsourcing labor for lubrication excellence upgrade to build/upgrade the room, oil cleanup performed by external resources, base bolt tensioning)",515100,Outside Services Other,XXXX25G005, Turbine O&M ,Minor Corrective,Outside Services,,
Major Corrective,,,,,,,,,,,,
Gearbox failure & repair,0510000,30000,GEARBOX,"Materials and components for complete exchanges (includes gearbox kits); including sales tax; storage fees 
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514408,R&M Gearbox,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Equipment Maintenance,,
,,69400,,"Repair of component, D&I reports, external contract labor and turnkey services",515109,Outside Services Equipment Maintenance,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Outside Services,,
,,,,"3rd party engineering services (post-development arc flash testing, proposal reviews), large component RCA costs, inspections & reports (root cause analysis, bed crack)",515114,Outside Services Corps of Engineers,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Outside Services,,
,,,,Refurbished Parts,514413,Repairs & Maintenance - Refurbished Parts,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Equipment Maintenance,,
,,33001,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M001,Turbine O&M,Major Corrective: Gearbox,Motor vehicles,,
Generator failure & repair,,30000,GENERAT,"Materials and components for complete exchanges; including sales tax; storage fees
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514406,R&M Generator,XXXX25M002,Turbine O&M,Major Corrective: Generator,Equipment Maintenance,,
,,69400,,"Repair of component, D&I reports, external contract labor and turnkey services",515109,Outside Services Equipment Maintenance,XXXX25M002,Turbine O&M,Major Corrective: Generator,Outside Services,,
,,,,"3rd party engineering services (post-development arc flash testing, proposal reviews), large component RCA costs, inspections & reports (root cause analysis, bed crack)",515114,Outside Services Corps of Engineers,XXXX25M002,Turbine O&M,Major Corrective: Generator,Outside Services,,
,,,,Refurbished Parts,514413,Repairs & Maintenance - Refurbished Parts,XXXX25M002,Turbine O&M,Major Corrective: Generator,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M002,Turbine O&M,Major Corrective: Generator,Equipment Maintenance,,
,,33001,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M002,Turbine O&M,Major Corrective: Generator,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M002,Turbine O&M,Major Corrective: Generator,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M002,Turbine O&M,Major Corrective: Generator,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M002,Turbine O&M,Major Corrective: Generator,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M002,Turbine O&M,Major Corrective: Generator,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M002,Turbine O&M,Major Corrective: Generator,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M002,Turbine O&M,Major Corrective: Generator,Motor vehicles,,
Main bearing/shaft failure & repair,,30000,MAINBEA,"Materials and components for complete exchanges; including sales tax; storage fees
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514408,R&M Gearbox,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Equipment Maintenance,,
,,69400,,"Repair of component, D&I reports, external contract labor and turnkey services",515109,Outside Services Equipment Maintenance,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Outside Services,,
,,,,"3rd party engineering services (post-development arc flash testing, proposal reviews), large component RCA costs, inspections & reports (root cause analysis, bed crack)",515114,Outside Services Corps of Engineers,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Outside Services,,
,,,,Refurbished Parts,514413,Repairs & Maintenance - Refurbished Parts,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Equipment Maintenance,,
,,33001,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M003,Turbine O&M,Major Corrective: Main bearing,Motor vehicles,,
Transformer,,,,"Materials and components for complete exchanges; including sales tax; storage fees
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514407,Repairs & Maintenance - Transformer,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Equipment Maintenance,,
,,,,"Repair of component, D&I reports, external contract labor and turnkey services",515109,Outside Services Equipment Maintenance,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Outside Services,,
,,,,"3rd party engineering services (post-development arc flash testing, proposal reviews), large component RCA costs, inspections & reports (root cause analysis, bed crack)",515114,Outside Services Corps of Engineers,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Outside Services,,
,,,,Refurbished Parts,514413,Repairs & Maintenance - Refurbished Parts,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Equipment Maintenance,,
,,,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M005,Turbine O&M,Major Corrective: Transformer,Motor vehicles,,
Blade Bearing Replacement,,,,"Materials and components for complete exchanges; including sales tax; storage fees
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514404,R&M Blades,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,"Repair of component, D&I reports, external contract labor and turnkey services",515109,Outside Services Equipment Maintenance,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Outside Services,,
,,,,"3rd party engineering services (post-development arc flash testing, proposal reviews), large component RCA costs, inspections & reports (root cause analysis, bed crack)",515114,Outside Services Corps of Engineers,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Outside Services,,
,,,,Refurbished Parts,514413,Repairs & Maintenance - Refurbished Parts,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M006,Turbine O&M,Major Corrective: Blade Bearing,Motor vehicles,,
Pitch Bearing Replacement,,,,"Materials and components for complete exchanges; including sales tax; storage fees
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514405,Repairs & Maintenance - Pitch Bearings,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,"Repair of component, D&I reports, external contract labor and turnkey services",515109,Outside Services Equipment Maintenance,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Outside Services,,
,,,,"3rd party engineering services (post-development arc flash testing, proposal reviews), large component RCA costs, inspections & reports (root cause analysis, bed crack)",515114,Outside Services Corps of Engineers,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Outside Services,,
,,,,Refurbished Parts,514413,Repairs & Maintenance - Refurbished Parts,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M007,Turbine O&M,Major Corrective: Blade Bearing,Motor vehicles,,
Blade Corrective,,,,,,,,,,,,
Blade failures & repairs,,69400,BLADES,"3rd Party Services
*Managed and arranged by the site - use site department
*Managed and arranged by the Blade Team - use department 8133",515109,Outside Services Equipment Maintenance,XXXX25M004,Turbine O&M,Blade Corrective,Outside Services,,
,,30000,,"Materials and components for complete repairs/replacements, including sales tax; storage fees
*coding only used when item is issued out of inventory **see Inventory Items row for inventory coding/guidance",514404,R&M Blades,XXXX25M004,Turbine O&M,Blade Corrective,Equipment Maintenance,,
,,33001,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25M004,Turbine O&M,Blade Corrective,Equipment Maintenance,,
,,,,Crane and crane pads,514403,Maintenance equipment Rental CRANE,XXXX25M004,Turbine O&M,Blade Corrective,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25M004,Turbine O&M,Blade Corrective,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25M004,Turbine O&M,Blade Corrective,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25M004,Turbine O&M,Blade Corrective,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25M004,Turbine O&M,Blade Corrective,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25M004,Turbine O&M,Blade Corrective,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25M004,Turbine O&M,Blade Corrective,Motor vehicles,,
Other ,,,,,,,,,,,,
Administrative Costs,0930940,35000,ADMIN,Issuance Fee  (APX vendor),515100,Outside Services Other,XXXX25G008,Other,APX,Outside Services,,
Community Involvement,0930940,1B418,COMSERV,Community Involvement,518102,Donations Charitable Registered,XXXX25G009,Other,Community Benefit,Donations,,
NERC PRC & MOD Testing,,,ENGSUPP,NERC PRC & MOD Testing,515114,Outside Services Corps of Engineers,XXXX25G010,Other,NERC Compliance,Outside Services,,
Environmental Fees & Permits,0500000,69700,ENVEXP,Wildlife and Natural Resources Conservation,515202,Consultant Environmental,XXXX25G011,Other,Environmental Compliance,Consultant fees,,
Environmental - Identiflight Agreement,0500000,69100,ENVEXP,Identiflight Agreement,515104,Outside Services Environmental,XXXX25G011,Other,Environmental Compliance,Outside Services,,
Janitorial Services & Supplies,,69400,JANITOR,Cleaning services & supplies,515113,Outside Services Janitorial,XXXX25G012,Other,Facilities,Outside Services,,
Contractor O&M Service,,69400,OPCLB,"Repairs to HVAC, electric, plumbing, roof, siding; fiber optic work/repairs",515100,Outside Services Other,XXXX25G012,Other,Facilities,Outside Services,,
O&M Building Rent,,60007,BLDGGRD,O&M building rent,513401,Long Term Lease Building/Office Space,XXXX25G012,Other,Facilities,Rent,,
Office Supplies,0510000,33000,OFFSUPP,"Includes paper, copier supplies/lease, bottled water, bulk water, ice, coffee, cups, plates, air conditioner filters",514200,Office Supplies - General,XXXX25G012,Other,Facilities,Office Services,,
"Fuel: Propane, Diesel & Gasoline",,,GAS,"O&M bldg heat, substation fuel for generators, diesel, gasoline, fuel for forklifts and other equipment",513302,Utilities - Heat Gas / Oil / Fuel,XXXX25G012,Other,Facilities,Premises Costs,,
Utility Expense,,66001,ELECEXP,Telephone/Internet ,513102,Telecom - Telephone,XXXX25G012,Other,Facilities,Communications (IT & Telecoms),,
Site Security,,69400,OPCLB,Security services,515100,Outside Services Other,XXXX25G017,Other,Site Security,Outside Services,,
Waste Management,,,RNWSEXP,"Dumpster/trash removal, hazardous waste, used oil, Safety-Kleen",515107,Outside Services Hazardous Waste Disposal,XXXX25G016,Other,Waste Management,Outside Services,,
Utility Expense,0500000,66000,ELECEXP,"Utility expenses for O&M building, substation, turbines (primarily electric expense)",513300,Utilities Office Electrical,XXXX25G014,Other,Light & Heat,Premises Costs,,
Utility Expense,,69700,ELECEXP,Site interconnect fees (also known as 'transmission' or 'facilities' on invoices),515101,Outside Services Electrical,XXXX25G015,Other,Interconnection Fees,Outside Services,,
BOP ,,,,,,,,,,,,
