Description,Company ID,Location,Department,Project,Account,Account Name,Additional Guidance
BoP: Corrective Maintenance and Unscheduled Outages,,,,XXXX25B001,515220,Consultant - Staff Augmentation,Staff Aug/ Contingent workers (Labor)
BoP: Corrective Maintenance and Unscheduled Outages,,,,XXXX25B001,517105,Transportation - Auto Rental and Rental Car Fuel,Vehicle Rental
BoP: Corrective Maintenance and Unscheduled Outages,,,,XXXX25B001,514501,Vehicle Fuel / Gas,Vehicle Fuel
BoP: Corrective Maintenance and Unscheduled Outages,,,,XXXX25B001,515109,Outside Services Equipment Maintenance,"Contractor outage support arranged by HV team (equipment mobilization, Substation & T&D support)"
BoP: Corrective Maintenance and Unscheduled Outages,,,,XXXX25B001,514400,Maintenance equipment Rental,"Equipment Rentals to support Unscheduled Outages and Corrective Maintenance (includes manlifts, telehandlers, porta-potties etc.) (site department)"
Administrative Costs,,,,XXXX25G008,515100,Outside Services Other,Issuance Fee  (APX vendor)
Community Involvement,,,,XXXX25G009,518102,Donations Charitable Registered,"Donations to local charities, community organizations, etc."
NERC PRC & MOD Testing,,,,XXXX25G010,515114,Outside Services Corps of Engineers,Electrical Engineering team members engage vendor and monitor service is completed; SRC should process invoices and Area Manager should approve
Environmental,,,,XXXX25G011,515104,Outside Services Environmental,"Environmental compliance, permitting, hazmat, etc. (not actual work done to site)"
O&M Building: Exterminator,,,,XXXX25G012,515100,Outside Services Other,Exterminators at O&M buildings
O&M Building: Janitorial Services,,,,XXXX25G012,515113,Outside Services Janitorial,"Service contracts in support of the O&M building (janitors, office cleaners, safety system inspections, etc.)"
O&M Building: Electric Expense,,,,XXXX25G012,513300,Utilities Office Electrical,Electric expense at O&M buildings
O&M Building: Water,,,,XXXX25G012,513300,Utilities Office Electrical,Water expense at O&M buildings
O&M Building: Gas,,,,XXXX25G012,513300,Utilities Office Electrical,O&M gas/heat expense at O&M buildings
O&M Building:Internet Service,,,,XXXX25G012,513102,Telecom - Telephone,Internet service at sites and O&M buildings
General Expenses,,,,XXXX25G012,514200,Office Supplies - General,"All other employee expenses not categorized elsewhere (meals, recognition awards, etc.)"
Office supplies,,,,XXXX25G012,514200,Office Supplies - General,"Paper, ink cartridges, coffee cups, pens, etc."
O&M Building Lease,,,,XXXX25G012,513402,Long Term Lease Property / Land,O&M building lease
Resource Adequacy Fees,,,,XXXX25G012,513719,Other Fees,Budgeted on site templates (only Pumpjack and Wildwood I)
Interconnect Fees,,,,XXXX25G015,515101,Outside Services Electrical,Site interconnect fees (also known as 'transmission' or 'facilities' on invoices)
Site Electric Expense,,,,XXXX25G014,513300,Utilities Office Electrical,Site electric bills and taxes for interconnect (parasitic load)
Security ,,,,XXXX25G017,515100,Outside Services Other,"Security services at sites and O&M buildings (i.e. ADT, CPI)"
BOP Waste Management,,,,XXXX25G016,515107,Outside Services Hazardous Waste Disposal,Waste/garbage removal service at sites; portable toilets
O&M Building: Waste,,,,XXXX25G016,515107,Outside Services Hazardous Waste Disposal,Waste/garbage removal service at O&M buildings
End of Contract Inspections,,,,XXXX25E001,515109,Outside Services Equipment Maintenance,3rd Party Services
End of Contract Inspections,,,,XXXX25E001,512101,Salaries and Wages - Regular Hours - Salaried,Labor (Deriva FTE)
End of Contract Inspections,,,,XXXX25E001,517100,Transportation - Other,Travel - use applicable travel account to correspond with cost
End of Contract Inspections,,,,XXXX25E001,517112,Per Diem Allowance Travel Meals,Per Diem
End of Contract Inspections,,,,XXXX25E001,515220,Consultant - Staff Augmentation,Staff Aug/ Contingent workers (Labor)
End of Contract Inspections,,,,XXXX25E001,517105,Transportation - Auto Rental and Rental Car Fuel,Vehicle Rental
End of Contract Inspections,,,,XXXX25E001,514501,Vehicle Fuel / Gas,Vehicle Fuel
Inventory,,,,,113150,Other Inventory,Invoices for Maximo inventory (not consumables) Dept & Location not needed in Basware
